"Comparison1" "Comparison2" "PB_SingleView_Prediction"
"207" "o4_t2_ap_d2" "o4_t2_mf_d2" 1
"208" "o4_t2_ap_d2" "o4_t2_ap_d1" 1
"209" "o4_t2_ap_d2" "o4_t2_rp_d1" 1
"210" "o4_t2_ap_d2" "o4_t2_rp_d2" 1
"211" "o4_t2_rp_d1" "o4_t1_cs_d1" 1
"212" "o4_t2_rp_d1" "o4_t1_cs_d2" 0
"213" "o4_t2_rp_d1" "o4_t2_mf_d1" 1
"214" "o4_t2_rp_d1" "o4_t2_mf_d2" 1
"215" "o4_t2_rp_d1" "o4_t2_ap_d1" 1
"216" "o4_t2_rp_d1" "o4_t2_ap_d2" 0
"217" "o4_t2_rp_d1" "o4_t2_rp_d2" 1
"218" "o4_t2_rp_d2" "o4_t1_cs_d1" 1
"219" "o4_t2_rp_d2" "o4_t1_cs_d2" 0
"220" "o4_t2_rp_d2" "o4_t2_mf_d1" 1
"221" "o4_t2_rp_d2" "o4_t2_mf_d2" 1
"222" "o4_t2_rp_d2" "o4_t2_ap_d1" 1
"223" "o4_t2_rp_d2" "o4_t2_ap_d2" 0
"224" "o4_t2_rp_d2" "o4_t2_rp_d1" 0
"225" "o5_t1_cs_d1" "o5_t1_cs_d2" 1
"226" "o5_t1_cs_d1" "o5_t2_mf_d1" 0
"227" "o5_t1_cs_d1" "o5_t2_mf_d2" 1
"228" "o5_t1_cs_d1" "o5_t2_ap_d1" 0
"229" "o5_t1_cs_d1" "o5_t2_ap_d2" 1
"230" "o5_t1_cs_d1" "o5_t2_rp_d1" 0
"231" "o5_t1_cs_d1" "o5_t2_rp_d2" 0
"232" "o5_t1_cs_d2" "o5_t1_cs_d1" 0
"233" "o5_t1_cs_d2" "o5_t2_mf_d1" 0
"234" "o5_t1_cs_d2" "o5_t2_mf_d2" 0
"235" "o5_t1_cs_d2" "o5_t2_ap_d1" 0
"236" "o5_t1_cs_d2" "o5_t2_ap_d2" 0
"237" "o5_t1_cs_d2" "o5_t2_rp_d1" 0
"238" "o5_t1_cs_d2" "o5_t2_rp_d2" 0
"239" "o5_t2_mf_d1" "o5_t1_cs_d1" 1
"240" "o5_t2_mf_d1" "o5_t1_cs_d2" 1
